ticker,return
EMB,0.0014782530310641917
EMB,0.002327618315959956
EMB,-0.007289724234041728
EMB,-0.006403406254355537
EMB,0.0006364022277327575
EMB,0.00791922488502772
EMB,0.0038302492079043127
DDS,-0.0006154011783974234
DDS,-0.0007201711537604405
DDS,0.018938993890384115
DDS,-0.028337019139945685
EME,0.0
EME,-0.005223728655567528
EME,0.0
EME,-0.012586221552910892
EME,0.011449712893683683
SHW,-0.004283059770153086
SHW,0.0012027906836635793
SHW,-0.018073941222594758
SHW,-0.04676257434136222
VCYT,0.050527296492231866
BALL,-0.0015785279460082124
BALL,0.007422462850768197
BALL,-0.0017003584611489098
BALL,0.011775020999708063
BALL,0.012606691652819801
BALL,-0.012172859490926058
GME,-0.03313056799876757
GME,0.011468382598915916
GME,0.015639299982011412
GME,0.007976710234280704
GME,0.0
GME,0.9270737591255416
GME,-0.03895251684610268
GME,0.027898860478336562
GME,-0.06734462771678507
GME,0.03755915847922031
GME,0.06811458463870257
GME,0.0028258539461401
GME,0.35240800878958134
ON,-0.13749999999999996
ON,0.005730653544946174
ON,0.031096571696991537
ON,-0.024468037401079168
ON,-0.028657625028786438
ON,0.024671741342568554
ON,-0.009721660892749728
DZZ,-0.08800001144409175
RWM,-0.011395543093680294
TXRH,-0.003217556013217937
TXRH,-0.03212821477516026
TXRH,-0.01751632283367155
TXRH,-0.012315024232291694
FNGD,0.03336012667616517
MOO,-0.028385997920303163
MOO,-0.0043914110860117095
VHC,-0.029727097407561187
ARKK,-0.005178310408312403
LNC,0.005281431828086047
LNC,0.06845662935229946
LNC,-0.019545942289423968
LNC,-0.0019209044598617053
DPZ,-0.008697011240942687
DPZ,0.030266594127629
DPZ,0.04081432393568729
DPZ,0.0011921839860637995
CP,-0.033701955302429254
CP,0.028829991882677763
BHE,0.02155188970914912
BHE,-0.003560085802831958
BHE,-0.02807477314799789
BHE,0.002624385233138682
VRT,-0.037478683841250415
VRT,0.06537520586291423
INTU,0.02960068602499133
INTU,0.06997442118964892
NWL,-0.01694936379337153
NWL,-0.029354822331436714
NWL,-0.0006015132030037229
NWL,-0.005280396080932781
NWL,-0.0046055657531873795
NWL,0.007556789283277299
NWL,0.01125486262749198
NWL,0.011730362968460195
NWL,0.0011843453052529096
NWL,0.010771138592309715
NWL,-0.023718432150289792
NWL,0.0
CME,-0.025441169999922297
CME,-0.05076532735399664
CME,-0.026607493752869082
CME,-0.03855544224165597
CME,0.0219069985887963
CME,-0.024322988408219892
CME,-0.01790855944801395
CME,-0.046334722834563524
CME,-0.005446949948451851
CME,-0.010025381152676038
CME,-0.04075527418516012
CME,-0.009568566385945387
CME,0.0071050368359426574
XOM,0.0
XOM,-0.003845588731557603
XOM,-0.031847765523214666
XOM,-0.010595708310264462
RCI,-0.023951675551457274
RCI,0.004770809201717574
ITOT,-0.01241323431764818
ITOT,0.005694468432334121
ITOT,0.008049413044098452
ITOT,0.0035382233568903576
ITOT,-0.0012189143712654227
ITOT,0.006456688220206175
ITOT,-0.0026700613159222897
ITOT,0.007003495093862
ITOT,0.0004252758320901773
ITOT,0.009040521496305187
ITOT,0.04299622064034847
ITOT,0.010016101918451037
ITOT,0.002252682449265686
ITOT,-0.01380283857053144
ITOT,0.023862174144609005
ITOT,0.022809067143457096
ITOT,0.025144478491647693
ITT,0.06051942102506591
ITT,-0.01680179189459774
ITT,0.03790976338676977
ITT,0.24330761121185152
WEC,0.014851596229192188
WEC,-0.0015489540591490103
WEC,-0.020819687072072823
WEC,-0.004124226470947345
WEC,0.0005978002238595792
WEC,0.0007190740639713145
WEC,0.0045058278082261705
WEC,0.0
WEC,0.009280736228948872
WEC,-0.00390649314934044
WEC,-0.003571064878570507
WEC,0.020445946572065887
WEC,0.009180157173895198
WEC,-0.009571916551488036
WEC,-0.006849051668143646
WEC,0.021347553423384458
VLO,-0.01210233164207597
VLO,-0.0021909897390559596
CRDF,0.02785508118008373
CRDF,0.027415149129268013
CRDF,-0.008510697587718052
CRDF,-0.09871238955318651
SAVA,-0.2937096165612829
SAVA,0.02026931233629936
SAVA,-0.0870757939281449
SAVA,-0.038454306218014156
SAVA,-0.03362294721327852
ALK,0.003225916629738146
ALK,-0.0070791101171949755
ALK,-0.024390045385635162
ALK,-0.01669992828638467
ALK,0.016031956658141278
ALK,-0.005173448660896529
ALK,0.016346104899613856
TRI,-0.0077378672880091814
TRI,0.01391489457502515
TRI,-0.0032234373429244068
TRI,-0.0073318927056675864
LEG,0.02357565476977541
LEG,-0.004629992894906287
LEG,-0.002585314411196249
LEG,-0.03928270852238702
LEG,-0.009728027290618502
LEG,-0.05899701224977594
LEG,0.042894770415474515
LEG,-0.004288652855781061
LEG,0.044087514743154754
JNJ,0.013755166443129685
JNJ,0.03639599493938728
SPR,-0.014925512173673217
SPR,0.008878244191180107
SPR,0.023867854642111608
SPR,-0.015192809734085766
SPR,0.0
ISRG,-0.029827091974632736
ISRG,-0.023458187421577348
ISRG,-0.017064633291114295
ISRG,0.10466099931946449
ISRG,0.006404874008266281
ISRG,-0.07006785141743677
BIV,0.0016869156351844161
BIV,-0.0003562642620876799
BIV,-0.0005855216782616468
BIV,-0.002636050774542986
BIV,0.0008684484088985478
BIV,0.0003708555915125089
BIV,-0.00012247925855513042
BIV,-0.0003644105464003511
BIV,0.0018233528206563765
BIV,0.0017016918330923225
BIV,0.009930268960981037
BIV,0.002940271029858277
GT,-0.021352349118123004
GT,-0.019323869023215923
GT,-0.011193826798285289
GT,-0.0037038561257665137
GT,0.019999563386675856
GT,0.024623171877477423
GT,0.0
