stocks ret,ret_p
0.03523379788837144,0.0
0.10378911297983096,-0.33333333333333326
0.07445919051619332,-0.9459459459459459
0.11365681314607046,-0.588235294117647
0.35240800878958134,0.0
-0.17885867357821805,1.5290697674418605
0.14395677194871426,-0.8734177215189873
0.08429119308480804,-0.8363636363636364
0.06735747995435548,-0.6470588235294117
-0.04672055988195112,0.0
-0.08965623519246868,0.023809523809523725
-0.006057582735403466,0.2195121951219512
0.0885214400726213,-0.8177083333333334
0.02531167337333229,-0.798941798941799
0.06411274659304333,-0.16666666666666663
-0.022362301478496716,-0.6000000000000001
0.0463082994187658,-0.6666666666666666
0.02928869863628547,-0.9090909090909091
0.02157449978450554,0.03333333333333344
0.012924716943917502,-0.9
-0.011952124665694064,-0.5
0.0422284540673743,-0.5151515151515151
-0.017847483932912467,-0.7291666666666666
-0.018727729744470678,0.21195652173913038
-0.017146742815559834,0.7241379310344829
0.02342021349921164,-0.2222222222222221
0.0305077389724544,0.06896551724137945
-0.014578397617069472,-0.9655172413793104
-0.003481568548963865,-0.26470588235294124
0.0,-0.6190476190476191
-0.028128215443701365,-0.4864864864864865
0.06072821810041007,-0.92
0.1254078569244934,-0.7727272727272727
-0.14881885181365206,2.0
-0.033303321061464386,-0.7
-0.1618020402094743,1.8947368421052633
-0.07537067017928845,-0.75
0.006393525768052966,-0.4444444444444444
-0.29032261781392343,7.923076923076922
0.3781984142068455,-0.9230769230769231
0.14023203580326427,-0.5555555555555556
-0.19956898422647207,2.5249999999999995
-0.04238407449638926,-0.5820895522388059
0.024314579712597872,-0.8333333333333333
0.04705881462058481,-0.9239130434782609
-0.0772888440646502,-0.9285714285714286
0.005925485968648614,-0.75
-0.00253262778401786,-0.023809523809523836
-0.005690238975410766,-0.4565217391304348
0.041822998609679196,-0.6727272727272728
0.009464778395199769,-0.9615384615384616
0.02380303831198516,-0.9285714285714286
-0.00023819244895839642,2.0
0.04725779622956927,-0.5714285714285714
0.10162814779353813,0.1428571428571428
-0.015267163828584174,-0.09090909090909083
-0.12755507091557372,0.47058823529411753
-0.10494213595808322,3.9259259259259256
-0.0358824298946846,-0.27184466019417475
-0.07339788756165666,-0.045454545454545525
-0.05304204065138618,1.8571428571428572
0.09165667908150743,-0.6477611940298508
-0.05798356335048316,0.0
-0.035096133125603446,1.25
-0.018977699902268164,-0.25
0.02411023327730999,0.375
0.06580361807735868,-0.8846153846153846
0.06088687439284457,-0.7142857142857143
0.03655654438225442,-0.9411764705882353
-0.05397251270184911,-0.5454545454545454
-0.04726148945774611,0.7218045112781954
0.09841317376910919,-0.9854227405247813
-0.2493031184623814,13.947183098591552
-0.026916053230467973,0.0869565217391306
-0.13135533129170607,3.3463497453310698
0.010131206437902218,-0.8195121951219512
0.0258109866639884,-0.7074148296593187
0.02958813960772777,-0.921875
-0.04187598624572686,-0.6666666666666666
