ticker
PAGS
WWR
VXRT
SIGA
AVDL
NWSA
UAA
KMX
ZTO
TRV
MD
EXEL
VVV
RYAM
BLUE
UE
SYK
CL
BHE
CHGG
XLP
L
MCRB
OSW
AQN
BAR
ICLN
MPU
SPIP
ERF
EWP
LXU
IBRX
VAC
UAL
PSA
OI
CRTO
BKU
ANGI
AVY
IRWD
MRO
CPB
INTU
PENN
GLNG
TDS
ZTS
ROST
RSPH
PFLT
ITRM
NCLH
IGIB
GPK
CUZ
AXL
FBT
PRMW
PAYX
ADAP
V
EEX
OII
TRUP
INFY
POLA
SM
PAAS
MGY
CGEN
NI
PNC
ATOS
UHS
HAL
VGR
BRO
INGR
WB
HP
KALA
TD
TECS
TQQQ
LEG
TNDM
EQT
SHAK
ULTA
TMUS
LW
LPX
CSGS
ADM
EPC
OZK
EMXC
ADIL
SCHF
VRT
UCO
PKG
TS
RES
CWST
PDM
BRQS
XLK
WHR
VRSN
TGTX
ORI
SPCB
CARG
MDGL
IEFA
GS
FXU
UGI
LIXT
MU
OIS
IDEV
CHRW
MCHP
TT
PHG
SOL
PVH
DLR
VTNR
ACHC
ATI
VGK
MAA
LABU
AVB
NCTY
CNK
AUDC
RSG
YPF
CCI
CNI
PNR
HFWA
RS
SBRA
KEYS
TWLO
AA
KAR
AGCO
EDU
CRS
CSIQ
VRA
WU
BGNE
DNN
FDX
WY
HSIC
COST
ALTO
IR
MLCO
AGRO
WSC
MBUU
REX
BRKR
SIX
SPHB
HEDJ
XOM
SPLG
MOO
LYB
CAKE
PAGP
NKLA
LRCX
SPTS
VGLT
FGEN
LOGI
GES
REG
SSSS
INVH
MKTX
AM
TSLA
SWX
PRU
IEMG
ASX
HMY
ABC
CMPR
HSBC
BMRN
CUK
CLF
VST
CCOI
IQV
ALLY
FV
HES
ADBE
GFI
XERS
GMED
CONN
EWW
RBBN
SCHG
IAU
LAMR
ACN
APT
MEI
FAS
PBR
PRFZ
ROL
DELL
D
KGC
GIL
ARES
NYCB
SRPT
DDM
FTK
TROW
SO
ING
GRMN
IJS
PUMP
MDXG
THO
FXI
TOPS
CACI
APLS
PXH
TALO
DRN
EXPI
HBAN
DGP
LKQ
RHP
JNUG
ASRT
GATX
JLL
KMPR
PK
EXR
XEL
TLT
STGW
TNA
TLK
AHT
AXTA
EL
AOS
OLED
VEEV
SAH
FWONA
GOVT
FLT
MOH
AVT
AER
FR
HR
ATO
CSGP
RSP
BWA
HA
IEUR
CHT
AIRT
MCHI
HUBS
BFH
EAF
CUBE
DXC
IPG
STLA
FNF
BLKB
CLSK
PEGA
LECO
EWA
FNGU
RSPT
SYNA
RPG
FOSL
KOLD
MDY
DIA
DVAX
GDX
SBAC
EWG
ACM
DARE
ECOR
TZA
NEM
FE
FNDF
OEC
VIXY
AON
ALEX
WT
KT
JNJ
IYW
INDA
EXPR
COLB
MTD
CARV
ASH
JBHT
PGRE
DTE
AY
CWH
DK
WWE
FULT
GLDM
AGI
JNK
GDDY
FTNT
AJG
TpC
LMT
NOW
VTVT
GT
WYNN
PYPL
ASML
DVN
XLRE
TRGP
BX
PLYA
CMC
GTE
PACB
IOVA
RTX
CXT
LNTH
FHN
NTRS
JD
CAR
SMFG
JPM
BLD
TER
QSR
SGOL
TTSH
TXN
UNH
FXG
INFN
BALL
GLOB
ROM
VMW
SHOP
RYAAY
CCK
FWONK
ALSN
POWW
ACAD
MGK
AXS
DCTH
TRN
NTNX
DBA
AIG
PIN
PLD
WCN
PFF
SFIX
TRMB
IRTC
XME
MGNI
APD
PXLW
FL
CNX
PFGC
UPRO
CAT
CDNS
LXP
EZPW
FLIA
SPG
NEGG
PBA
DKS
LHX
KRG
ANGL
MFC
DISH
CERS
DAN
TXMD
LQDA
RDN
GCO
SWBI
WWD
PSX
CMRX
INTC
NUE
PTC
XRX
ACRS
LEN
KRC
CVNA
BTE
SBH
FNGD
DRIO
BTBT
NTLA
ONB
FMC
VMBS
ERIC
GLBS
HST
OMF
CVX
PDD
ANSS
XLB
EFA
HCA
SHO
ENV
LBRDK
JBL
NNDM
BOOM
MEDP
SPGI
VXUS
GLW
SAND
SRCL
SUM
AEG
ATUS
FI
RLJ
ACHV
RUN
LAB
SNPS
BLNK
RMD
SKY
MPC
TECH
CTSH
CRL
KOF
